"eol_id","Taxa category","Latin name","Italian common name","Florae url ","Acta planctorum url","Floritaly url"
"1145865","Specie","Alnus incana","Ontano bianco","https://www.florae.it/?id=6642","http://www.actaplantarum.org/flora/flora_info.php?id=566","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=251"
"1145560","Specie","Alnus viridis","Ontano verde","https://www.florae.it/?id=6641","http://www.actaplantarum.org/flora/flora_info.php?id=567","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=249"
"1149353","Specie","Betula pubescens","Betulla pubescente","https://www.florae.it/?id=6640","http://www.actaplantarum.org/flora/flora_info.php?id=1195","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=247"
"1149364","Specie","Betula pendula","Betulla verrucosa; Barancio","https://www.florae.it/?id=6638","http://www.actaplantarum.org/flora/flora_info.php?id=1194","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=245"
"1149387","Specie","Betula nana",NULL,"https://www.florae.it/?id=6637","http://www.actaplantarum.org/flora/flora_info.php?id=1193","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=248"
"107300","Genere","Alnus","Ontano","https://www.florae.it/?id=6636",NULL,NULL
"12154292","Genere","Betula","Betulla","https://www.florae.it/?id=6635",NULL,NULL
"487229","Specie","Juglans regia","Noce comune","https://www.florae.it/?id=6634","http://www.actaplantarum.org/flora/flora_info.php?id=4243","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=242"
"597359","Specie","Saururus cernuus",NULL,"https://www.florae.it/?id=6633","http://www.actaplantarum.org/flora/flora_info.php?id=6837","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=241"
"46367025","Specie","Populus deltoides",NULL,"https://www.florae.it/?id=6632","http://www.actaplantarum.org/flora/flora_info.php?id=6069","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=240"
"584259","Specie","Populus canadensis","Pioppo del Canada","https://www.florae.it/?id=6631","http://www.actaplantarum.org/flora/flora_info.php?id=6067","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=239"
"584265","Specie","Populus nigra","Pioppo nero","https://www.florae.it/?id=6630","http://www.actaplantarum.org/flora/flora_info.php?id=6070","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=9722"
